dataset,method,predicted,predicted*2,predicted/2,ground_truth,ad,ad*2,ad/2,min_ad,top_ad
Adiac,FFT,22,44,11.0,22.02099999999996,0.020999999999961716,21.97900000000004,11.020999999999962,0.020999999999961716,0.020999999999961716
ArrowHead,FFT,31,62,15.5,62.833999999999946,31.833999999999946,0.8339999999999463,47.333999999999946,0.8339999999999463,31.833999999999946
Beef,FFT,58,116,29.0,117.019,59.019000000000005,1.0190000000000055,88.019,1.0190000000000055,59.019000000000005
BirdChicken,FFT,42,84,21.0,129.56650000000008,87.56650000000008,45.566500000000076,108.56650000000008,45.566500000000076,87.56650000000008
CBF,FFT,32,64,16.0,31.999999999999982,1.7763568394002505e-14,32.000000000000014,15.999999999999982,1.7763568394002505e-14,1.7763568394002505e-14
Car,FFT,18,36,9.0,36.00199999999995,18.001999999999953,0.0019999999999527063,27.001999999999953,0.0019999999999527063,18.001999999999953
Chinatown,FFT,24,48,12.0,24.002999999999982,0.00299999999998235,23.997000000000018,12.002999999999982,0.00299999999998235,0.00299999999998235
ChlorineConcentration,FFT,20,40,10.0,83.0,63.0,43.0,73.0,43.0,63.0
CinCECGTorso,FFT,199,398,99.5,205.0,6.0,193.0,105.5,6.0,6.0
Coffee,FFT,35,70,17.5,36.0,1.0,34.0,18.5,1.0,1.0
CricketX,FFT,18,36,9.0,21.0,3.0,15.0,12.0,3.0,3.0
CricketY,FFT,18,36,9.0,19.0,1.0,17.0,10.0,1.0,1.0
CricketZ,FFT,18,36,9.0,37.00049999999999,19.000499999999988,1.0004999999999882,28.000499999999988,1.0004999999999882,19.000499999999988
Crop,FFT,22,44,11.0,23.01600000000053,1.0160000000005311,20.98399999999947,12.016000000000531,1.0160000000005311,1.0160000000005311
DiatomSizeReduction,FFT,43,86,21.5,43.0,0.0,43.0,21.5,0.0,0.0
DistalPhalanxOutlineAgeGroup,FFT,10,20,5.0,10.0,0.0,10.0,5.0,0.0,0.0
DistalPhalanxTW,FFT,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
DodgerLoopDay,FFT,288,576,144.0,288.928,0.9279999999999973,287.072,144.928,0.9279999999999973,0.9279999999999973
ECG200,FFT,23,46,11.5,24.000999999999976,1.0009999999999764,21.999000000000024,12.500999999999976,1.0009999999999764,1.0009999999999764
ECGFiveDays,FFT,17,34,8.5,34.0,17.0,0.0,25.5,0.0,17.0
EOGHorizontalSignal,FFT,80,160,40.0,78.00900000000001,1.9909999999999854,81.99099999999999,38.009000000000015,1.9909999999999854,1.9909999999999854
EOGVerticalSignal,FFT,77,154,38.5,78.0005000000001,1.0005000000001019,75.9994999999999,39.5005000000001,1.0005000000001019,1.0005000000001019
FaceAll,FFT,10,20,5.0,33.0,23.0,13.0,28.0,13.0,23.0
FaceFour,FFT,43,86,21.5,350.00549999999976,307.00549999999976,264.00549999999976,328.50549999999976,264.00549999999976,307.00549999999976
FacesUCR,FFT,10,20,5.0,65.0,55.0,45.0,60.0,45.0,55.0
FiftyWords,FFT,33,66,16.5,33.99800000000005,0.9980000000000473,32.00199999999995,17.498000000000047,0.9980000000000473,0.9980000000000473
Fish,FFT,28,56,14.0,57.99799999999959,29.997999999999593,1.9979999999995925,43.99799999999959,1.9979999999995925,29.997999999999593
FreezerRegularTrain,FFT,75,150,37.5,75.0034999999998,0.003499999999803549,74.9965000000002,37.5034999999998,0.003499999999803549,0.003499999999803549
GunPoint,FFT,37,74,18.5,37.50749999999999,0.5074999999999932,36.49250000000001,19.007499999999993,0.5074999999999932,0.5074999999999932
Ham,FFT,26,52,13.0,107.99699999999984,81.99699999999984,55.996999999999844,94.99699999999984,55.996999999999844,81.99699999999984
Haptics,FFT,68,136,34.0,68.00200000000041,0.0020000000004074536,67.99799999999959,34.00200000000041,0.0020000000004074536,0.0020000000004074536
Herring,FFT,64,128,32.0,128.00500000000005,64.00500000000005,0.005000000000052296,96.00500000000005,0.005000000000052296,64.00500000000005
InlineSkate,FFT,117,234,58.5,114.03599999999985,2.964000000000155,119.96400000000015,55.535999999999845,2.964000000000155,2.964000000000155
