Name of Time Series,Median
Adiac,22.020999999999958
ArrowHead,62.833999999999946
Beef,117.019
BirdChicken,129.56650000000008
CBF,31.999999999999986
Car,36.00199999999995
Chinatown,24.002999999999986
ChlorineConcentration,83.0
CinCECGTorso,205.0
Coffee,36.0
CricketX,21.0
CricketY,19.0
CricketZ,37.00049999999999
Crop,23.01600000000053
DiatomSizeReduction,43.0
DistalPhalanxOutlineAgeGroup,10.0
DistalPhalanxTW,20.0
DodgerLoopDay,288.928
ECG200,24.000999999999976
ECGFiveDays,34.0
EOGHorizontalSignal,78.00900000000001
EOGVerticalSignal,78.0005000000001
FaceAll,33.0
FaceFour,350.00549999999976
FacesUCR,65.0
FiftyWords,33.99800000000005
Fish,57.99799999999959
FreezerRegularTrain,75.0034999999998
GunPoint,37.50749999999999
Ham,107.99699999999984
Haptics,68.00200000000041
Herring,128.00500000000005
InlineSkate,114.03599999999983
InsectWingbeatSound,15.519499999999994
ItalyPowerDemand,23.99700000000007
LargeKitchenAppliances,28.45149999999967
Lightning2,19.98599999999999
Lightning7,159.00599999999986
Mallat,128.00099999999998
Meat,56.0
MedicalImages,49.01599999999985
MelbournePedestrian,12.000999999999749
MiddlePhalanxOutlineAgeGroup,40.0
MiddlePhalanxOutlineCorrect,20.0
MiddlePhalanxTW,80.0010000000002
MoteStrain,85.18099999999998
NonInvasiveFetalECGThorax1,47.0
NonInvasiveFetalECGThorax2,47.0
OSULeaf,56.0
OliveOil,285.00049999999965
Plane,36.0
ProximalPhalanxOutlineAgeGroup,10.0
ProximalPhalanxOutlineCorrect,10.0
ProximalPhalanxTW,20.0
ShapeletSim,33.0
ShapesAll,127.00700000000006
SonyAIBORobotSurface1,37.99899999999991
SonyAIBORobotSurface2,63.756500000000074
Strawberry,14.996999999999986
SwedishLeaf,32.0
Symbols,100.00149999999996
SyntheticControl,15.000999999999976
ToeSegmentation1,76.0
ToeSegmentation2,35.00200000000001
Trace,69.0
TwoLeadECG,20.742500000000007
UMD,149.49200000000002
UWaveGestureLibraryAll,20.998999999999796
UWaveGestureLibraryX,10.99899999999991
UWaveGestureLibraryY,10.0
UWaveGestureLibraryZ,15.0
WordSynonyms,33.998999999999995
Yoga,64.76299999999992
