,dataset,FFT,ACF,SuSS,MWF,Autoperiod,RobustPeriod
0,Adiac,22,22,22,22,22,4
1,ArrowHead,31,63,32,32,32,31
2,Beef,58,118,66,117,61,7
3,BeetleFly,21,258,34,112,27,22
4,BirdChicken,42,255,48,69,44,43
5,Car,18,36,24,18,18,18
6,CBF,32,32,36,9,32,343
7,Chinatown,24,24,24,8,24,24
8,ChlorineConcentration,20,83,36,20,21,21
9,CinCECGTorso,199,825,106,269,235,10
10,Coffee,35,36,30,9,36,4
11,Computers,45,44,68,45,44,45
12,CricketX,18,19,42,19,19,69
13,CricketY,18,19,34,19,19,19
14,CricketZ,18,112,44,19,19,323
15,Crop,22,46,52,23,23,12
16,DiatomSizeReduction,43,43,34,43,43,14
17,DistalPhalanxOutlineAgeGroup,10,10,20,16,10,3
18,DistalPhalanxTW,20,20,20,20,20,3
19,DodgerLoopDay,288,13,62,288,287,96
20,ECG200,23,48,32,24,24,12
21,ECGFiveDays,17,68,42,8,16,17
22,EOGHorizontalSignal,80,78,80,78,78,19
23,EOGVerticalSignal,77,78,70,78,78,20
24,FaceAll,10,33,40,22,10,6
25,FaceFour,43,349,88,85,46,44
26,FacesUCR,10,262,34,44,10,22
27,FiftyWords,33,34,38,33,34,34
28,Fish,28,58,30,29,29,14
29,FreezerRegularTrain,75,75,64,75,75,15
30,Ham,26,108,52,107,26,27
31,Herring,64,128,48,64,64,64
32,GunPoint,37,37,40,37,37,37
33,Haptics,68,68,50,68,68,17
34,InlineSkate,117,235,72,118,117,118
35,InsectWingbeatSound,16,48,26,12,16,83
36,ItalyPowerDemand,24,48,28,24,24,12
37,LargeKitchenAppliances,22,23,46,22,23,22
38,Lightning2,19,60,34,20,20,34
39,Lightning7,159,638,96,160,159,27
40,Mallat,42,128,38,89,41,128
41,Meat,27,56,44,56,56,5
42,MedicalImages,49,49,52,49,49,16
43,MelbournePedestrian,11,24,20,12,12,6
44,MiddlePhalanxOutlineAgeGroup,39,40,28,40,40,13
45,MiddlePhalanxOutlineCorrect,20,20,20,20,20,136
46,MiddlePhalanxTW,80,80,38,74,80,27
47,MoteStrain,83,251,78,83,84,16
48,NonInvasiveFetalECGThorax1,46,47,44,47,47,7
49,NonInvasiveFetalECGThorax2,46,47,40,47,47,10
50,OliveOil,285,285,70,270,285,26
51,OSULeaf,13,53,26,41,13,64
52,Plane,18,36,26,18,18,12
53,ProximalPhalanxOutlineAgeGroup,10,10,20,16,10,3
54,ProximalPhalanxOutlineCorrect,10,10,20,16,10,135
55,ProximalPhalanxTW,20,20,20,20,20,3
56,ShapesAll,64,128,58,69,65,64
57,ShapeletSim,11,641,22,194,2,100
58,SonyAIBORobotSurface1,35,70,42,36,33,14
59,SonyAIBORobotSurface2,13,130,48,31,7,32
60,Strawberry,14,44,22,14,15,15
61,SwedishLeaf,16,32,30,16,16,16
62,Symbols,99,100,60,99,100,33
63,SyntheticControl,15,15,24,15,15,160
64,ToeSegmentation1,26,22,40,82,24,88
65,ToeSegmentation2,33,68,48,36,35,34
66,Trace,68,69,50,68,69,34
67,TwoLeadECG,20,41,26,9,20,10
68,UMD,138,151,74,143,151,25
69,UWaveGestureLibraryAll,14,59,20,11,5,15
70,UWaveGestureLibraryX,10,10,20,11,5,35
71,UWaveGestureLibraryY,10,10,20,11,5,61
72,UWaveGestureLibraryZ,10,10,20,11,5,36
73,WordSynonyms,33,101,40,33,34,11
74,Yoga,26,107,34,43,24,18
